id,point_code,english_name,chinese_pinyin_hebrew,english_name_hebrew
1,Lu2,Cloud Door,יון מן (Yun Men) - LU2,ענן דלת (דלת הענן; Lu2- דְלת יון)
2,Lu3,Celestial Palace,"טְיֶאן פוּ
נקודה: Lu3
שדה: chinese_pinyin","נְקֻדָּה: Lu3
שֵׁם בְּאַנְגְלִית: הֵיכַל הַשָּׁמַיִם (חֶיְכָל הַשָּׁמַיִם); טְיֵאן פֿוּ (Tianyǔ)"
11,St1,Tear Container,צֶ'נְג צִ'י (Cheng Qi),"מיכל הדמעות (Mīḵal ha-dmaʿōt) - (סטוּמָאקוּ 1, St1)"
12,St2,Four Whites,"נקודה: ST2
שדה: chinese_pinyin

טקסט לתרגום:
SI BAI

תרגום:
נקודה: ST2
שדה: צ'ייניז פיניין

טקסט לתרגום:
סְה בָּאי","ארבעה לבנים (Si Bai, סה באי)"
105,Bl1,Bright Eyes,JING MING - גִ'ינג מִינג,Bright Eyes - עֵינַיִם בְּהִירוֹת
106,Bl2,Bamboo Gathering,ZAN ZHU - זַאן ג'וּ,Bamboo Gathering - איסוף במבוק
107,Bl3,Eyebrows Ascension,MEI CHONG - מֵי צ'וֹנג,Eyebrows Ascension - הַרְמַת הַגַּבּוֹת
108,Bl4,Crooked Curve,QU CHAI - צִ'י צָ'אי,Crooked Curve - עִקּוּל עָקוּם
109,Bl5,Five Regions,ווּ צ'וּ (WU CHU),חמישה אזורים (חמישה מחוזות)
110,Bl6,Receiving Light,CHENG GUAN - צֶ'נְג גוּאַן,Receiving Light - קבלת אור
111,Bl7,Celestial Connection,TONG TIAN - טוֹנְג טְיֵאן,Celestial Connection - קשר שמימי / חיבור שמימי
112,Bl8,Vessel Ending,LUO QUE - 落卻 (תעתיק פין-יין),Vessel Ending - קצה כלי הדם (תרגום מילולי)
113,Bl9,Jade Pillow,יוּ זֶ'ן,כרית הירקן
114,Bl10,Celestial Pillar,TIAN ZHU - טְיֶאן ג'וּ,Celestial Pillar - עמוד השמיים
115,Bl11,Great Shuttle,דָה שוּ (Dà Shū),הסעה גדולה (Ha's'aa Gedola)
116,Bl12,Wind Door,פֶנְג מֶן (Fēng Mén),שער הרוח (Sha'ar HaRu'ach)
117,Bl13,Lung Shu,פֵיי שׁוּ (Fei Shu),שׁוּ הָרֵאוֹת (Lung Shu)
118,Bl14,厥陰俞,JUE YIN SHU - 厥陰俞 (תעתיק פין-יין),JUE YIN SHU - נקודת שו של המעטפת (תעתיק מילולי: נקודת הובלה של ה-Jue Yin)
119,Bl15,Heart Shu,שין שו,נקודת הלב שו
120,Bl16,GV Shu,DU MAI SHU - דו מאי שו,GV Shu - נקודת אסוציאציה של מרידיאן המושל
